N,TBP,N_ITER,TIME,PI
256,256,12800,28033,3.142908
512,256,6400,16431,3.142316
1024,256,3200,10812,3.141826
2048,256,1600,825.75,3.140893
4096,256,800,776.25,3.143339
8192,256,400,863.38,3.142413
